store_id,item_id,wm_yr_wk,sell_price
CA_1,HOBBIES_1_001,11521,8.26
CA_1,HOBBIES_1_001,11522,8.26
CA_1,HOBBIES_1_001,11523,8.26
CA_1,HOBBIES_1_001,11524,8.26
CA_1,HOBBIES_1_001,11525,8.26
CA_1,HOBBIES_1_001,11526,8.26
CA_1,HOBBIES_1_001,11527,8.26
CA_1,HOBBIES_1_001,11528,8.26
CA_1,HOBBIES_1_001,11529,8.26
CA_1,HOBBIES_1_001,11530,8.26
CA_1,HOBBIES_1_001,11531,8.26
CA_1,HOBBIES_1_001,11532,8.26
CA_1,HOBBIES_1_001,11533,8.26
CA_1,HOBBIES_1_001,11534,8.26
CA_1,HOBBIES_1_001,11535,8.26
CA_1,HOBBIES_1_001,11536,8.26
CA_1,HOBBIES_1_001,11537,8.26
CA_1,HOBBIES_1_001,11538,8.26
CA_1,HOBBIES_1_001,11539,8.26
CA_1,HOBBIES_1_001,11540,8.26
CA_1,HOBBIES_1_001,11541,8.26
CA_1,HOBBIES_1_001,11542,8.26
CA_1,HOBBIES_1_001,11543,8.26
CA_1,HOBBIES_1_001,11544,8.26
CA_1,HOBBIES_1_001,11545,8.26
CA_1,HOBBIES_1_001,11546,8.26
CA_1,HOBBIES_1_001,11547,8.26
CA_1,HOBBIES_1_001,11548,8.26
CA_1,HOBBIES_1_001,11549,8.26
CA_1,HOBBIES_1_001,11550,8.26
CA_1,HOBBIES_1_001,11551,8.26
CA_1,HOBBIES_1_001,11552,8.26
CA_1,HOBBIES_1_001,11601,8.26
CA_1,HOBBIES_1_001,11602,8.26
CA_1,HOBBIES_1_001,11603,8.26
CA_1,HOBBIES_1_001,11604,8.26
CA_1,HOBBIES_1_001,11605,8.26
CA_1,HOBBIES_1_001,11606,8.26
CA_1,HOBBIES_1_001,11607,8.26
CA_1,HOBBIES_1_001,11608,8.26
CA_1,HOBBIES_1_001,11609,8.26
CA_1,HOBBIES_1_001,11610,8.26
CA_1,HOBBIES_1_001,11611,8.38
CA_1,HOBBIES_1_001,11612,8.38
CA_1,HOBBIES_1_001,11613,8.38
CA_1,HOBBIES_1_001,11614,8.38
CA_1,HOBBIES_1_001,11615,8.38
CA_1,HOBBIES_1_001,11616,8.38
CA_1,HOBBIES_1_001,11617,8.38
CA_1,HOBBIES_1_001,11618,8.38
CA_1,HOBBIES_1_001,11619,8.38
CA_1,HOBBIES_1_001,11620,8.38
CA_1,HOBBIES_1_001,11621,8.38
CA_1,HOBBIES_1_002,11521,3.97
CA_1,HOBBIES_1_002,11522,3.97
CA_1,HOBBIES_1_002,11523,3.97
CA_1,HOBBIES_1_002,11524,3.97
CA_1,HOBBIES_1_002,11525,3.97
CA_1,HOBBIES_1_002,11526,3.97
CA_1,HOBBIES_1_002,11527,3.97
CA_1,HOBBIES_1_002,11528,3.97
CA_1,HOBBIES_1_002,11529,3.97
CA_1,HOBBIES_1_002,11530,3.97
CA_1,HOBBIES_1_002,11531,3.97
CA_1,HOBBIES_1_002,11532,3.97
CA_1,HOBBIES_1_002,11533,3.97
CA_1,HOBBIES_1_002,11534,3.97
CA_1,HOBBIES_1_002,11535,3.97
CA_1,HOBBIES_1_002,11536,3.97
CA_1,HOBBIES_1_002,11537,3.97
CA_1,HOBBIES_1_002,11538,3.97
CA_1,HOBBIES_1_002,11539,3.97
CA_1,HOBBIES_1_002,11540,3.97
CA_1,HOBBIES_1_002,11541,3.97
CA_1,HOBBIES_1_002,11542,3.97
CA_1,HOBBIES_1_002,11543,3.97
CA_1,HOBBIES_1_002,11544,3.97
CA_1,HOBBIES_1_002,11545,3.97
CA_1,HOBBIES_1_002,11546,3.97
CA_1,HOBBIES_1_002,11547,3.97
CA_1,HOBBIES_1_002,11548,3.97
CA_1,HOBBIES_1_002,11549,3.97
CA_1,HOBBIES_1_002,11550,3.97
CA_1,HOBBIES_1_002,11551,3.97
CA_1,HOBBIES_1_002,11552,3.97
CA_1,HOBBIES_1_002,11601,3.97
CA_1,HOBBIES_1_002,11602,3.97
CA_1,HOBBIES_1_002,11603,3.97
CA_1,HOBBIES_1_002,11604,3.97
CA_1,HOBBIES_1_002,11605,3.97
CA_1,HOBBIES_1_002,11606,3.97
CA_1,HOBBIES_1_002,11607,3.97
CA_1,HOBBIES_1_002,11608,3.97
CA_1,HOBBIES_1_002,11609,3.97
CA_1,HOBBIES_1_002,11610,3.97
CA_1,HOBBIES_1_002,11611,3.97
CA_1,HOBBIES_1_002,11612,3.97
CA_1,HOBBIES_1_002,11613,3.97
CA_1,HOBBIES_1_002,11614,3.97
CA_1,HOBBIES_1_002,11615,3.97
CA_1,HOBBIES_1_002,11616,3.97
CA_1,HOBBIES_1_002,11617,3.97
CA_1,HOBBIES_1_002,11618,3.97
CA_1,HOBBIES_1_002,11619,3.97
CA_1,HOBBIES_1_002,11620,3.97
CA_1,HOBBIES_1_002,11621,3.97
CA_1,HOBBIES_2_001,11521,5.47
CA_1,HOBBIES_2_001,11522,5.47
CA_1,HOBBIES_2_001,11523,5.47
CA_1,HOBBIES_2_001,11524,5.47
CA_1,HOBBIES_2_001,11525,5.47
CA_1,HOBBIES_2_001,11526,5.47
CA_1,HOBBIES_2_001,11527,5.47
CA_1,HOBBIES_2_001,11528,5.47
CA_1,HOBBIES_2_001,11529,5.47
CA_1,HOBBIES_2_001,11530,5.47
CA_1,HOBBIES_2_001,11531,5.47
CA_1,HOBBIES_2_001,11532,5.47
CA_1,HOBBIES_2_001,11533,5.47
CA_1,HOBBIES_2_001,11534,5.47
CA_1,HOBBIES_2_001,11535,5.47
CA_1,HOBBIES_2_001,11536,5.47
CA_1,HOBBIES_2_001,11537,5.47
CA_1,HOBBIES_2_001,11538,5.47
CA_1,HOBBIES_2_001,11539,5.47
CA_1,HOBBIES_2_001,11540,5.47
CA_1,HOBBIES_2_001,11541,5.47
CA_1,HOBBIES_2_001,11542,5.47
CA_1,HOBBIES_2_001,11543,5.47
CA_1,HOBBIES_2_001,11544,5.47
CA_1,HOBBIES_2_001,11545,5.47
CA_1,HOBBIES_2_001,11546,5.47
CA_1,HOBBIES_2_001,11547,5.47
CA_1,HOBBIES_2_001,11548,5.47
CA_1,HOBBIES_2_001,11549,5.47
CA_1,HOBBIES_2_001,11550,5.47
CA_1,HOBBIES_2_001,11551,5.47
CA_1,HOBBIES_2_001,11552,5.47
CA_1,HOBBIES_2_001,11601,5.47
CA_1,HOBBIES_2_001,11602,5.47
CA_1,HOBBIES_2_001,11603,5.47
CA_1,HOBBIES_2_001,11604,5.47
CA_1,HOBBIES_2_001,11605,5.47
CA_1,HOBBIES_2_001,11606,5.47
CA_1,HOBBIES_2_001,11607,5.47
CA_1,HOBBIES_2_001,11608,5.47
CA_1,HOBBIES_2_001,11609,5.47
CA_1,HOBBIES_2_001,11610,5.47
CA_1,HOBBIES_2_001,11611,5.47
CA_1,HOBBIES_2_001,11612,5.47
CA_1,HOBBIES_2_001,11613,5.47
CA_1,HOBBIES_2_001,11614,5.47
CA_1,HOBBIES_2_001,11615,5.47
CA_1,HOBBIES_2_001,11616,5.47
CA_1,HOBBIES_2_001,11617,5.47
